Multi-ROI
nROIs,5,
Time (ms),426877436387,426877516237,426877595809,426877675414,426877755034,426877834713,426877914337,426877993945,426878073549,426878153172,426878232799,426878312463,426878392262,426878471899,426878551597,426878631226,426878710857,426878790486,426878870246,426878950064,426879029827,426879109534,426879189158,426879268742,426879348399,426879428088,426879507690,426879587353,426879667064,426879746759,426879826567,426879906199,426879985960,426880065597,426880145321,
FileNumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
Time (s),0,79.8499999642372,159.42199999094,239.026999950409,318.646999955177,398.325999975204,477.949999988079,557.557999968529,637.162000000477,716.784999966621,796.412000000477,876.075999975204,955.875,1035.51199996471,1115.20999997854,1194.83899998665,1274.46999996901,1354.09899997711,1433.85899996758,1513.67699998617,1593.43999999762,1673.14699995518,1752.77099996805,1832.35499995947,1912.01199996471,1991.7009999752,2071.3029999733,2150.9659999609,2230.67699998617,2310.37199997902,2390.17999994755,2469.81199997663,2549.57299995422,2629.20999997854,2708.93399995565,
meanIntensity-ROI1-ch1,27.9452054794521,28.37899543379,27.7214611872146,28.324200913242,28.2602739726027,27.5844748858447,32.2557077625571,41.4246575342466,44.5068493150685,47.1095890410959,50.1461187214612,51.6301369863014,55.7762557077626,44.4520547945205,23.8310502283105,23.365296803653,23.5296803652968,22.9543378995434,22.8082191780822,22.2739726027397,21.8173515981735,20.6940639269406,20.3150684931507,19.7716894977169,19.4200913242009,18.027397260274,18.1461187214612,17.4155251141553,17.8356164383562,16.8767123287671,17.6575342465753,16.7077625570776,16.3561643835616,16.4246575342466,16.3561643835616,
meanIntensity-ROI2-ch1,24.6363636363636,29.9338842975207,28,24.0826446280992,23.9752066115702,24.9090909090909,30.099173553719,38.2148760330578,41.5289256198347,43.3388429752066,41.603305785124,41.0330578512397,43.1570247933884,41.7851239669422,35.7933884297521,22.3636363636364,18.9504132231405,18.1818181818182,17.7438016528926,16.7190082644628,16,15.6115702479339,15.3719008264463,15.0661157024793,14.8760330578512,14.4710743801653,14.4132231404959,14.0247933884298,14.3471074380165,13.7851239669421,13.8099173553719,13.1074380165289,13.1074380165289,13.0909090909091,12.7520661157025,
meanIntensity-ROI3-ch1,22.7902097902098,23.4475524475524,23.3076923076923,23.2727272727273,23.013986013986,23.1468531468531,29.1398601398601,37.5034965034965,39.6083916083916,40.6993006993007,40.4475524475524,39.6713286713287,41.3776223776224,40.4825174825175,38.979020979021,37.5944055944056,32.1258741258741,25.6923076923077,21.8671328671329,20.5314685314685,18.2867132867133,17.7342657342657,16.6503496503496,16.3846153846154,15.9090909090909,15.034965034965,15.3566433566434,15.027972027972,15.4755244755245,14.6503496503496,14.5524475524476,14.1188811188811,14.013986013986,14.048951048951,13.5594405594406,
meanIntensity-ROI4-ch1,32.5541401273885,32.7070063694268,33.2675159235669,33.7324840764331,33.6305732484076,32.4904458598726,32.4140127388535,32.4267515923567,31.8980891719745,31.5222929936306,31.484076433121,30.1146496815287,31.4522292993631,29.2738853503185,29.0764331210191,28.8789808917197,28.9235668789809,28.7707006369427,28.5414012738853,28.2611464968153,28.1210191082803,28.4140127388535,27.8980891719745,27.3503184713376,26.7515923566879,26.2738853503185,26.3503184713376,25.4458598726115,25.1847133757962,24.8025477707006,24.5668789808917,24.1974522292994,23.9171974522293,23.9299363057325,23.0191082802548,
meanIntensity-ROI5-ch1,23.4470046082949,22.294930875576,22.4377880184332,22.4377880184332,21.8940092165899,22.4239631336406,28.926267281106,35.5806451612903,37.8387096774194,39.0184331797235,39.1013824884793,39.9769585253456,38.63133640553,38.2718894009217,36.8847926267281,35.5898617511521,32.1428571428571,30.5898617511521,28.963133640553,28.1566820276498,26.8709677419355,25.1612903225806,23.8847926267281,22.7465437788018,21.405529953917,19.7096774193548,18.9308755760369,18.294930875576,17.9032258064516,17.5115207373272,16.5529953917051,15.3364055299539,14.3917050691244,14.036866359447,13.4654377880184,

sumIntensity-ROI1-ch1,6120,6215,6071,6203,6189,6041,7064,9072,9747,10317,10982,11307,12215,9735,5219,5117,5153,5027,4995,4878,4778,4532,4449,4330,4253,3948,3974,3814,3906,3696,3867,3659,3582,3597,3582,
